net,length_um
clknet_2_1_0_clk,948.09µm
clknet_2_3_0_clk,860.31µm
clknet_2_2_0_clk,846.89µm
clknet_0_clk,829.98µm
clknet_2_0_0_clk,814.2µm
net551,776.03µm
net2013,747.5µm
net2062,719.14µm
net1773,714.215µm
net2449,712.86µm
_04829_,711.23µm
net1634,701.29µm
net612,699.955µm
net588,695.13µm
net578,692.22µm
net599,684.6µm
net972,684.08µm
net677,683.2µm
_08270_,671.33µm
net855,670.8µm
net913,669.08µm
net1620,664.105µm
net614,650.89µm
clk,642.595µm
net609,642.185µm
_06343_,640.9µm
net1959,636.19µm
_03307_,636.03µm
net1999,632.33µm
_03106_,618.79µm
net2000,617.59µm
net856,615.68µm
net611,612µm
net914,608.835µm
net740,606.6µm
net581,602.7µm
net797,599.85µm
net915,599.2µm
net739,594.83µm
_04470_,592.62µm
net2305,591.54µm
_03147_,589.08µm
_05804_,586.935µm
_08310_,585.62µm
net798,584.05µm
_07747_,583.455µm
_07683_,573.015µm
_05473_,565.79µm
net610,562.955µm
_03967_,562.8µm
_05496_,547.97µm
net613,544.84µm
_03369_,543.79µm
_06878_,543.56µm
_05469_,542.16µm
_03503_,541.48µm
_05837_,541.48µm
_07063_,540.28µm
net583,538.86µm
_07525_,537.86µm
_05500_,536.1µm
_06578_,535.28µm
_05501_,531.79µm
net1627,528.16µm
net566,522.84µm
_07279_,518.74µm
_04463_,518.7µm
_09071_,516.84µm
_04698_,512.715µm
_07806_,507.37µm
net2202,506.62µm
_05852_,506.405µm
_05166_,502.46µm
_05414_,501.42µm
net545,501.4µm
_06310_,499.58µm
_03687_,496.96µm
_05477_,496.5µm
net433,495.5µm
net617,495.05µm
_05490_,492.73µm
_06758_,490.6µm
net1860,490.32µm
net1682,489.39µm
net571,487.4µm
_04839_,485.89µm
_05485_,485.14µm
_05218_,482.35µm
_05009_,479.68µm
_05484_,476.48µm
_09122_,475.08µm
_06251_,471.52µm
_05264_,471.41µm
net1977,470.98µm
_04926_,467.22µm
net2304,466.51µm
_05487_,462.43µm
_04555_,462.21µm
net590,459.32µm
net8,458.5µm
u_core.instr\[24\],457.4µm
_07776_,455.22µm
_05474_,454.88µm
net565,453.88µm
_06067_,453.64µm
_07369_,453.36µm
net558,452.225µm
_05851_,452.09µm
net586,450.42µm
net1646,448.08µm
_05491_,447.25µm
_05494_,445.62µm
_06934_,442.45µm
_09169_,440.45µm
_05694_,439.44µm
net596,439.41µm
_03916_,438.67µm
_05462_,438.33µm
net1681,438.24µm
_08290_,437.84µm
_05486_,437.68µm
_05489_,437.49µm
net378,436.86µm
net2251,436.85µm
_07920_,435.92µm
_06483_,433.45µm
net595,433.02µm
net1144,432.33µm
net2350,431.03µm
net562,429.15µm
net549,428.72µm
_05060_,428.46µm
net1645,426.44µm
_03111_,426.09µm
net387,426.05µm
_06786_,425.7µm
_05674_,425.1µm
net1846,424.09µm
net796,423.4µm
_05497_,420.385µm
net1543,419.43µm
_09188_,417.85µm
net1122,417.3µm
net575,417.28µm
net2522,417µm
