Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_232_1376,VPWR,li1,639.1700,644.6400,1.800000
FILLER_232_1373,VPWR,li1,637.7900,644.6400,1.800000
FILLER_232_1369,VPWR,li1,635.9500,644.6400,1.800000
FILLER_232_1366,VPWR,li1,634.5700,644.6400,1.800000
FILLER_232_1363,VPWR,li1,633.1900,644.6400,1.800000
FILLER_232_1360,VPWR,li1,631.8100,644.6400,1.800000
FILLER_232_1357,VPWR,li1,630.4300,644.6400,1.800000
FILLER_232_1354,VPWR,li1,629.0500,644.6400,1.800000
FILLER_232_1351,VPWR,li1,627.6700,644.6400,1.800000
FILLER_232_1348,VPWR,li1,626.2900,644.6400,1.800000
FILLER_232_1345,VPWR,li1,624.9100,644.6400,1.800000
FILLER_232_1341,VPWR,li1,623.0700,644.6400,1.800000
FILLER_232_1338,VPWR,li1,621.6900,644.6400,1.800000
FILLER_232_1335,VPWR,li1,620.3100,644.6400,1.800000
FILLER_232_1332,VPWR,li1,618.9300,644.6400,1.800000
FILLER_232_1329,VPWR,li1,617.5500,644.6400,1.800000
FILLER_232_1326,VPWR,li1,616.1700,644.6400,1.800000
FILLER_232_1323,VPWR,li1,614.7900,644.6400,1.800000
FILLER_232_1320,VPWR,li1,613.4100,644.6400,1.800000
FILLER_232_1317,VPWR,li1,612.0300,644.6400,1.800000
FILLER_232_1313,VPWR,li1,610.1900,644.6400,1.800000
FILLER_232_1310,VPWR,li1,608.8100,644.6400,1.800000
FILLER_232_1307,VPWR,li1,607.4300,644.6400,1.800000
FILLER_232_1304,VPWR,li1,606.0500,644.6400,1.800000
FILLER_232_1301,VPWR,li1,604.6700,644.6400,1.799999
FILLER_232_1298,VPWR,li1,603.2900,644.6400,1.799999
FILLER_232_1295,VPWR,li1,601.9100,644.6400,1.799999
FILLER_232_1292,VPWR,li1,600.5300,644.6400,1.799999
FILLER_232_1289,VPWR,li1,599.1500,644.6400,1.799999
FILLER_232_1287,VPWR,li1,597.7700,644.6400,1.799999
FILLER_232_1284,VPWR,li1,596.8500,644.6400,1.799999
FILLER_232_1281,VPWR,li1,595.4700,644.6400,1.799999
FILLER_232_1278,VPWR,li1,594.0900,644.6400,1.799999
FILLER_232_1273,VPWR,li1,591.5600,644.6400,1.799999
FILLER_232_1270,VPWR,li1,590.4100,644.6400,1.799999
FILLER_232_1267,VPWR,li1,589.0300,644.6400,1.799999
FILLER_232_1264,VPWR,li1,587.6500,644.6400,1.799999
FILLER_232_1261,VPWR,li1,586.2700,644.6400,1.799999
FILLER_232_1259,VPWR,li1,584.8900,644.6400,1.799999
FILLER_232_1256,VPWR,li1,583.9700,644.6400,1.799999
FILLER_232_1253,VPWR,li1,582.5900,644.6400,1.799999
FILLER_232_1250,VPWR,li1,581.2100,644.6400,1.799999
FILLER_232_1247,VPWR,li1,579.8300,644.6400,1.799999
FILLER_232_1244,VPWR,li1,578.4500,644.6400,1.799999
FILLER_232_1241,VPWR,li1,577.0700,644.6400,1.799999
FILLER_232_1238,VPWR,li1,575.6900,644.6400,1.799999
FILLER_232_1233,VPWR,li1,573.1600,644.6400,1.799999
FILLER_232_1229,VPWR,li1,571.5500,644.6400,1.799999
FILLER_232_1226,VPWR,li1,570.1700,644.6400,1.799999
FILLER_232_1223,VPWR,li1,568.7900,644.6400,1.799999
FILLER_232_1220,VPWR,li1,567.4100,644.6400,1.799999
FILLER_232_1217,VPWR,li1,566.0300,644.6400,1.799999
FILLER_232_1214,VPWR,li1,564.6500,644.6400,1.799999
FILLER_232_1211,VPWR,li1,563.2700,644.6400,1.799999
FILLER_232_1208,VPWR,li1,561.8900,644.6400,1.799999
FILLER_232_1205,VPWR,li1,560.5100,644.6400,1.799999
FILLER_232_1201,VPWR,li1,558.6700,644.6400,1.799999
FILLER_232_1198,VPWR,li1,557.2900,644.6400,1.799999
FILLER_232_1195,VPWR,li1,555.9100,644.6400,1.799999
FILLER_232_1192,VPWR,li1,554.5300,644.6400,1.799999
FILLER_232_1189,VPWR,li1,553.1500,644.6400,1.799999
FILLER_232_1186,VPWR,li1,551.7700,644.6400,1.799999
FILLER_232_1183,VPWR,li1,550.3900,644.6400,1.799999
FILLER_232_1180,VPWR,li1,549.0100,644.6400,1.799999
FILLER_232_1177,VPWR,li1,547.6300,644.6400,1.799999
FILLER_232_1173,VPWR,li1,545.7900,644.6400,1.799999
FILLER_232_1170,VPWR,li1,544.4100,644.6400,1.799999
FILLER_232_1167,VPWR,li1,543.0300,644.6400,1.799999
FILLER_232_1164,VPWR,li1,541.6500,644.6400,1.799999
FILLER_232_1161,VPWR,li1,540.2700,644.6400,1.799999
FILLER_232_1158,VPWR,li1,538.8900,644.6400,1.799999
FILLER_232_1155,VPWR,li1,537.5100,644.6400,1.799999
FILLER_232_1152,VPWR,li1,536.1300,644.6400,1.799999
FILLER_232_1149,VPWR,li1,534.7500,644.6400,1.799999
FILLER_232_1145,VPWR,li1,532.9100,644.6400,1.799999
FILLER_232_1142,VPWR,li1,531.5300,644.6400,1.799999
FILLER_232_1139,VPWR,li1,530.1500,644.6400,1.799999
FILLER_232_1136,VPWR,li1,528.7700,644.6400,1.799999
FILLER_232_1133,VPWR,li1,527.3900,644.6400,1.799999
FILLER_232_1130,VPWR,li1,526.0100,644.6400,1.799999
FILLER_232_1127,VPWR,li1,524.6300,644.6400,1.799999
FILLER_232_1124,VPWR,li1,523.2500,644.6400,1.799998
FILLER_232_1121,VPWR,li1,521.8700,644.6400,1.799998
FILLER_232_1117,VPWR,li1,520.0300,644.6400,1.799998
FILLER_232_1114,VPWR,li1,518.6500,644.6400,1.799998
FILLER_232_1111,VPWR,li1,517.2700,644.6400,1.799998
FILLER_232_1108,VPWR,li1,515.8900,644.6400,1.799998
FILLER_232_1105,VPWR,li1,514.5100,644.6400,1.799998
FILLER_232_1102,VPWR,li1,513.1300,644.6400,1.799998
FILLER_232_1099,VPWR,li1,511.7500,644.6400,1.799998
FILLER_232_1096,VPWR,li1,510.3700,644.6400,1.799998
FILLER_232_1093,VPWR,li1,508.9900,644.6400,1.799998
FILLER_232_1089,VPWR,li1,507.1500,644.6400,1.799998
FILLER_232_1086,VPWR,li1,505.7700,644.6400,1.799998
FILLER_232_1083,VPWR,li1,504.3900,644.6400,1.799998
FILLER_232_1080,VPWR,li1,503.0100,644.6400,1.799998
FILLER_232_1077,VPWR,li1,501.6300,644.6400,1.799998
FILLER_232_1074,VPWR,li1,500.2500,644.6400,1.799998
FILLER_232_1071,VPWR,li1,498.8700,644.6400,1.799998
FILLER_232_1068,VPWR,li1,497.4900,644.6400,1.799998
FILLER_232_1065,VPWR,li1,496.1100,644.6400,1.799998
FILLER_232_1061,VPWR,li1,494.2700,644.6400,1.799998
FILLER_232_1058,VPWR,li1,492.8900,644.6400,1.799998
FILLER_232_1055,VPWR,li1,491.5100,644.6400,1.799998
FILLER_232_1052,VPWR,li1,490.1300,644.6400,1.799998
FILLER_232_1049,VPWR,li1,488.7500,644.6400,1.799998
FILLER_232_1046,VPWR,li1,487.3700,644.6400,1.799998
FILLER_232_1043,VPWR,li1,485.9900,644.6400,1.799998
FILLER_232_1040,VPWR,li1,484.6100,644.6400,1.799998
FILLER_232_1037,VPWR,li1,483.2300,644.6400,1.799998
FILLER_232_1033,VPWR,li1,481.3900,644.6400,1.799998
FILLER_232_1030,VPWR,li1,480.0100,644.6400,1.799997
FILLER_232_1027,VPWR,li1,478.6300,644.6400,1.799997
FILLER_232_1024,VPWR,li1,477.2500,644.6400,1.799997
FILLER_232_1021,VPWR,li1,475.8700,644.6400,1.799997
FILLER_232_1018,VPWR,li1,474.4900,644.6400,1.799996
FILLER_232_1015,VPWR,li1,473.1100,644.6400,1.799996
FILLER_232_1012,VPWR,li1,471.7300,644.6400,1.799996
FILLER_232_1009,VPWR,li1,470.3500,644.6400,1.799996
FILLER_232_1000,VPWR,li1,466.2100,644.6400,1.799994
